,0
fit_generator,"('tensorflow-r2.1', 'tensorflow-r1.4')"
while_loop_v2,"('tensorflow-r2.2', 'tensorflow-r1.13')"
initialize,"('tensorflow-r2.2', 'tensorflow-r1.2')"
convert_all_kernels_in_model,"('tensorflow-r2.2', 'tensorflow-r1.4')"
experimental_ref,"('tensorflow-r2.2', 'tensorflow-r1.15')"
predict_classes,"('tensorflow-r2.2', 'tensorflow-r1.4')"
predict_proba,"('tensorflow-r2.2', 'tensorflow-r1.4')"
experimental_run_v2,"('tensorflow-r2.2', 'tensorflow-r1.14')"
start_tracing,"('tensorflow-r2.3', 'tensorflow-r1.14')"
make_saveable_from_iterator,"('tensorflow-r2.3', 'tensorflow-r1.12')"
start,"('tensorflow-r2.3', 'tensorflow-r1.0')"
terminate_keras_multiprocessing_pools,"('tensorflow-r2.3', 'tensorflow-r1.14')"
set_learning_phase,"('tensorflow-r2.3', 'tensorflow-r1.4')"
stop,"('tensorflow-r2.3', 'tensorflow-r1.0')"
learning_phase_scope,"('tensorflow-r2.3', 'tensorflow-r1.7')"
maybe_create_event_file,"('tensorflow-r2.3', 'tensorflow-r1.14')"
get_updates_for,"('tensorflow-r2.3', 'tensorflow-r1.2')"
get_next_as_optional,"('tensorflow-r2.3', 'tensorflow-r1.11')"
start_profiler_server,"('tensorflow-r2.3', 'tensorflow-r1.14')"
experimental_make_numpy_dataset,"('tensorflow-r2.3', 'tensorflow-r1.14')"
random_binomial,"('tensorflow-r2.3', 'tensorflow-r1.4')"
run_multiple_tasks_in_processes,"('tensorflow-r2.3', 'tensorflow-r1.14')"
join_independent_workers,"('tensorflow-r2.3', 'tensorflow-r1.14')"
get_losses_for,"('tensorflow-r2.3', 'tensorflow-r1.2')"
stream_stderr,"('tensorflow-r2.3', 'tensorflow-r1.14')"
updates,"('tensorflow-r2.3', 'tensorflow-r1.0')"
monitor,"('tensorflow-r2.3', 'tensorflow-r1.15')"
save,"('tensorflow-r2.3', 'tensorflow-r1.0')"
state_updates,"('tensorflow-r2.3', 'tensorflow-r1.4')"
